title,short_description,Completion result
[코드잇 스프린트 Node.js 백엔드 1기] 위클리 페이퍼 - 1주차,"Q1. URL의 구성 요소 중 쿼리가 무엇인지 실제 웹 서비스의 URL을 예시로 설명해 주세요.

1. URL의 구성요소

 먼저 네트워크상에서 자원(Resource)을 주고받으려면 자원을 식별할 수 있
어야 합니다. 자원을 식별할 수 있는 정보를 URI(Unifor ","{""class_name"":""Backend""}"
FSD 간단하게 시작해보기,"공식홈피를 기반 했지만 제 입맛에 따라 해석 했음을 알려드립니다.

프롤로그
때는 바야흐로 2024년 5월 fsd 아키텍처가 유행하기 시작 했다. 마침 회사의 프로젝트 두개를 하나로 합치는 프로젝트를 시작 하는 나로써는 매우나도 유혹적인 글이었습니다.
하지만 지금 처럼","{""class_name"":""Backend""}"
[면접을 위한 CS 전공지식 노트] 2.3 네트워크 기기,면접을 위한 CS 전공지식 노트 - 2.3 네트워크 기기,"{""class_name"":""CS""}"
🎓 Reinforcement learning - 1,"🎓 강화학습(Reinforcement Learning, RL)이란?
>강화학습(Reinforcement Learning, RL)은 인공지능(AI)과 머신러닝의 한 분야로, 에이전트(Agent)가 환경(Environment)과 상호작용하면서 시행착오(Trial and ","{""class_name"":""AI""}"
TIL-2,논리적으로 제품을 만들 수 있도록 도와주는 프레임워크 중 하나.사용자에 대한 이해를 기반으로 문제를 찾고 제품을 만들어 검증하는 프로세스.공감하기 Empathy 문제 정의하기 Define아이디어 발산하기 Ideate프로토타입 만들기 Prototype테스트하기 Test데,"{""class_name"":""DevOps""}"
🎓 Reinforcement learning - 2,"강화학습은 에이전트가 환경과 상호작용하며 시행착오를 통해 최적의 행동을 학습하는 순차적 의사결정 문제이다. 이러한 문제를 효과적으로 해결하기 위해서는 환경의 변화를 수학적으로 모델링해야 하며, 이를 설명하는 핵심 개념이 마르코프 과정(Markov Process)이다.마","{""class_name"":""AI""}"
FSD(Feature Sliced Design) 적용,"프로젝트를 진행할 때, 항상 파일 구조를 어떻게 해야할까? 라는 고민을 했다.기존에는 전통적인 파일 구조를 따라 Model, Service, View를 나누어 역할에 따른 관심사별로 분리하는 방식을 선택했었지만 프로젝트의 규모가 커질수록 애매모호한 파일들이 항상 발생했","{""class_name"":""CS""}"
차익거래 봇을 만들며 발생한 문제들 (1) - HTTP에서 Websocket으로 재설계 하기,"배경
HTTP rate limit으로 인한 차익 거래 탐색 기회 감소
network latency 개선을 통한 수익성 증가 기대

주요 변화
응답이 원하는 순간에 원하는 순서로 오지 않는다
로직 순환 주기가 짧아졌다

발생하는 문제
동시성 문제

트레이딩 시그널이 감지","{""class_name"":""Backend""}"
최대 3개 스와이퍼를 본 적 있으세요 ?,데이터가 1000개여도 최대 3개씩만 들어있는 스와이퍼 ㄷㄷ,"{""class_name"":""DevOps""}"
"SI/SM 구조의 회사, 정말 최악일까?
(취준생들이 묻는 질문과 답변)","요즘 취준 기간이 다시 돌아온 것인지 취준생 2분에게 연락이 왔다 ✉️ 그래서 그 분들이 이력서, si 에 대해 물어본 것과 작년에도 4분 정도 메일로 연락주셔서 내가 아는 선에서 답변 해드렸는데 그 내용들을 취합해서 정리해보고자 함😃😃","{""class_name"":""etc""}"
🏷 주니어 개발자가 자주 하는 실수 모음.zip,"개발자라면 누구나 실수를 하면서 배우게 됩니다. 그런데 문제는 “이미 많은 선배님들이 겪은 삽질”을 똑같이 반복한다는 것이죠. 같은 실수를 두 번, 세 번… 하지 않도록, 아래 리스트에서 마음에 꺼림칙한 게 있으면 오늘 당장 예방책을 마련해 봅시다!(개인적인 경험 + ","{""class_name"":""CS""}"
[KOIN] 버스 리팩토링 전 정리,"코인 앱에는 재학생을 위해 학교와 주변 장소 간의 교통 정보를 제공해주는 버스 서비스가 있다.버스 서비스는 셔틀버스, 시외버스(대성고속), 시내버스 각각의 시간표와 특정 시간에서의 가장 빠른 차편 정보를 제공해준다.버스는 다른 도메인에 비해 사용하는 외부 API가 많고","{""class_name"":""Backend""}"
"dev container 를 이용한 개발세팅 ",개발환경 세팅하는데 하루날리지말고 dev container로 딸깍합시다.,"{""class_name"":""DevOps""}"
[한화시스템 BEYOND SW CAMP] 14기 3주차 회고,이번 블로그도 팀프로젝트하느라 조금 늦어버렸다..3주차 동안은 프로젝트에만 전념했다.. 여유롭게 하진 않았던 것 같은데 발표 전날까지 급하게 해서 끝맺었다.주말에 쉬지도 않고 모두 프로젝트에 투자하면서 모인 우리 팀 모두 칭찬해 주고 싶다.프로젝트를 하면서 프로젝트 진,"{""class_name"":""Backend""}"
Beyound SW 14기 3주차 회고,3주차는 거의 프로젝트에 올인했다고 봐도 무방한 주차였다. 매일 강의실의 불이 꺼지고 문이 닫힐때까지 우리 팀 모두가 끝까지 남아 주말에는 쉬기 위해 불태웠지만... 불만 탔다.... 팀원들과 모여 프로젝트를 진행하면 할수록 손발이 잘맞아가며 프로젝트 수행 속도가 상당,"{""class_name"":""DevOps""}"
나만의 스프링 시큐리티 정리하기,스프링 시큐리티를 처음으로 공부하고 프로젝트에 적용하게 되면서 배운 내용들과 생각을 정리한 글이다.😊,"{""class_name"":""Backend""}"
"[숙제] UXUI 디자인 입문 1주차 ","⭐오늘의 집 뜯어보기🕍
","{""class_name"":""Frontend""}"
{ font-size: 62.5% },px을 rem으로 직관적으로 변환하기,"{""class_name"":""Frontend""}"
가상돔 Virtual DOM을 왜 사용할까요,Virtual DOM(가상돔)을 Vanilla JS로 구현하고 배운 점과 리액트 렌더링 원리를 정리했습니다.,"{""class_name"":""Frontend""}"
[Axios] request interceptor에서 cookie 사용하기,useCookie 사용하지 않고 react-cookie 사용하기,"{""class_name"":""Frontend""}"
[Java] Java & Spring boot 버전 뭘 선택해야 할까?,"면접 질문에서 왜 자바 17을 쓰셨나요? 왜 21을 쓰셨나요?
너무 두려운 질문입니다...
""자바 버전이 그렇게 차이가 있는가? 내 서비스에 맞는 자바 버전은?""
이런 의문을 가지고 포스팅을 해보겠습니다.

가장 많이 쓰는 버전은?

    출처: https://new","{""class_name"":""Backend""}"
스타트업 백엔드 개발 인턴 후기,7개월간의 스타트업 백엔드 개발 인턴을 진행하며 맡은 업무와 성장한 점에 대한 후기를 작성합니다.,"{""class_name"":""Backend""}"
25.1.29 개발일지 - 리팩토링 3일차,"ISP의 핵심은 ""클라이언트가 자신이 사용하지 않는 메서드에 의존하면 안된다""는 것이다.앞서 뷰모델에 LSP 원칙을 적용하여, 변수와 함수를 따로 인터페이스로 분리했다. 여기에서 한번 더 나아가, QuoteViewModelActions와 QuoteViewModelSta","{""class_name"":""Backend""}"
DevFest 2024 : 삐약톤 캠퍼스 대항전 우수상 후기,삐약톤: 캠퍼스 대항전 회고입니다.,"{""class_name"":""etc""}"
[JavaScript] Promise: 비동기 프로그래밍을 위한 도구,"Promise는 자바스크립트에서 비동기 작업의 결과값을 처리하기 위해 설계된 객체입니다.예를 들어, 서버에서 데이터를 가져오거나 타이머를 기다리는 작업과 같은 비동기 작업을 더 직관적으로 관리할 수 있도록 만들어졌습니다.pending: 초기 상태, 작업이 아직 완료되지","{""class_name"":""Frontend""}"
"웹 표준과 웹 접근성, 나는 얼마나 잘 지키고 있을까?",웹 표준과 웹 접근성을 얼마나 이해하고 있는지 실습해봤습니다.,"{""class_name"":""Frontend""}"
TIL-3,제품을 만들기 위해 각자 다른 전문적인 능력을 갖춘 사람들이 모인 팀을 지칭.목적조직특정한 목적을 달성하기 위해 여러 직무의 사람들이 모인 팀.제품의 목표를 달성하기 위해 다양한 직무의 사람이 모여있는 팀이기 때문에속도가 빠르고 효율적.기능조직유사한 직무끼리 구성된 팀,"{""class_name"":""DevOps""}"
[본캠프] d+3.,"디자인 툴, 비트맵과 벡터, 프로토타이핑 툴","{""class_name"":""Frontend""}"
TIL_1W4D_컴포넌트 프로퍼티의 이해,디자인 카타오늘의 토픽 - 가이드 텍스트 위치 어디에 노출하는 것이 더 유용할까요?선택 B안버튼이 아닌 가이드 영역에 별도 표기함으로 정보 기입 시 어떤 액션을 취해야 할 지 눈에 잘 띈다A안을 선택하지 않은 이유로는 CTA 버튼에 가이드 영역 활용 시 버튼이라는 인지,"{""class_name"":""Frontend""}"
[TIL+17일차] UXUI 디자이너,"리얼 메타포: 1990년대, IBM HCI 디자인팀에서 초보자들도 컴퓨터를 쉽게 이용할 수 있도록 실제 물건을 모방해 디자인한 것이 시초스큐어모피즘: 아이폰과 함께 등장한 양식플랫디자인: 2013년 애플이 iOS7에서 처음 선보인 GUI 양식뉴모피즘: 2020년부터 스","{""class_name"":""Frontend""}"
TIL-6,"여러 가지 사례를 상세하게 분류해 생각해 보고 도움이 될 만한 부분을 찾아보는 과정.레퍼런스 분석을 통해 스스로 생각하는 힘을 기를 수 있음.화면 구조 분석디자인 원칙 기반 분석인사이트 정리하기디지털 제품, 주로 앱이나 웹에서 자주 사용되는 디자인 요소.온보딩로딩검색 ","{""class_name"":""Frontend""}"
[TIL+18일차] UXUI 디자인,"디자인 씽킹이란?
","{""class_name"":""Frontend""}"
TIL_1W1D_피그마 본격적으로 둘러보기,"

[사전캠프 당시의 TIL]

스타터 노트1
스타터 노트2

피그마는 제품을 만드는 모든 사람을 위한 디자인 툴이자 협업 도구

디스플레이는 웹사이트, 앱, 키오스크 등 디지털 화면을 뜻함, 이 디스플레이는 픽셀이라는 정말 작은 칸으로 이루어져있으며 크기가 한정되지 ","{""class_name"":""Frontend""}"
신입 개발자의 실수 모음집.pdf,안녕하세요 킴스캐슬입니다:-)저저번 글이었나요...? 다음번에는 실수관련된 글을 적겠다고 말씀드렸었는데 나름의 정리가 끝이난거같아서 적어보려합니다저는 개인적으로 개발하는데있어서 만큼은 iOS개발자가 iOS개발을 잘하면 크게 문제가 없지 않을까라는 생각을 했었던것같습니다,"{""class_name"":""CS""}"
"250117 🍀 그린 ",지난 기간의 성장을 그린 일기입니다~,"{""class_name"":""etc""}"
[TIL+19일차] UXUI 디자인,"정의한 문제를 해결할 다양한 아이디어를 내고, 적합한 아이디어를 선택하는 과정.1\. HMW(How Might We?)\->  무엇?'만약 ~할 수 있다면 어떨까?' 라고 질문하고, 가정과 상상 속에서 아이디어를 이끌어 내는 방법언제?새로운 방식으로 아이디어를 떠올려 ","{""class_name"":""Frontend""}"
단계별 풀어보기 - 알고리즘으로 넘어가기 전까지,코테를 시작하면서 무엇을 먼저 해야할지 도무지 감이 잡히질 않았다사이트 고민부터 언어 선택까지 참 별 고민을 많이 했던 거 같다사실 백준을 고른 이유는 그냥 준이 들어간게 마음에 들어서였고자바를 고른 이유는 백엔드하는 김에 좀 멋져보여서 였다이런 저런 이유를 많이 대고,"{""class_name"":""Backend""}"
당신이 클로저를 알아야하는 이유,이제는 너무 유명해서 옆집 꼬마 김민재(9)까지도 안다는 클로저...실무에서는 어떻게 쓸 수 있을까요?,"{""class_name"":""AI""}"
"[Next App Router] 앱라우터에서 router.query migration하기 ",useSearchParam,"{""class_name"":""Frontend""}"
Next.js 미들웨어로 사용자 경험(UX) 개선하기,미들웨어를 이용한 사용자 경험개선하기 !,"{""class_name"":""Frontend""}"
사이드 프로젝트에서의 디자인 시스템,"
안녕하세요! Inhu 프로젝트의 기획과 디자인을 맡은 너진입니다 🥸
오늘은 Inhu 프로젝트에서 구축한 디자인 시스템 이야기를 해볼려고 합니다! 쉽지 않은 디자인 시스템.. 진짜 쉽지 않음..

🔵 사이드 프로젝트에서 디자인 시스템 꼭 필요할까?
여러분은 사이드 프로젝트에서 어느 레벨의 디자인 시스템을 구축하시나요?
저는 사실 디자인 시스템을 만들고 ...","{""class_name"":""Frontend""}"
"개발자가 input[type=""number""]를 싫어하는 이유",1) 목적 : 나라별 메달 개수를 입력하는 input에 음수가 입력될 경우를 고려한 유효성 검사 추가2) 구현 방법 : input의 내장된 min 속성 을 활용해 최소값 할당3) 이슈 내용 : 해당 속성만으로는 완벽한 제어가 불가능함. 화살표를 클릭해 숫자를 늘리고 줄,"{""class_name"":""Frontend""}"
[TIL+16일차] UXUI 디자인- 본 캠프 시작,"1) UXUI란 무엇인가?위 사진으로 UX와 UI를 표현 할 것이다.시리얼을 먹기 위해서 필요한 도구들을 UI(그릇과 수저)시리얼을 먹을 지 고민하는 것을 시작으로 그릇에 부으면서 나는 냄새, 그리고 씹으면서 질감과 맛을 느끼고, 배는 점점 차는 이 과정을 UX라고 합","{""class_name"":""AI""}"
TIL_1W2D_프레임과 컨스트레인트,"디자인 카타
오늘의 토픽 - 점수 평가에 사용할 컴포넌트, 사용성에 어떤 차이가 있을까요?

선택 B안
둘의 디자인을 놓고 보았을 때 주목도가 높은 것이 B안이라고 판단
대중적으로 라디오 버튼을 사용하는 빈도가 높은 것을 반영

A안을 선택하지 않은 이유로는 주목도가 ","{""class_name"":""Frontend""}"
[Java] Java 21: Virtual Thread,JDK 21 가상 스레드 🤔,"{""class_name"":""Backend""}"
[본캠프] d+1.,"UX/UI의 의미, UX/UI 디자이너의 역할, 디자인 가이드라인, UX/UI 디자인 트렌드","{""class_name"":""Frontend""}"
"[EKS] Pod ReadinessGate ",Pod Readiness Gate를 활용하여 안정적인 애플리케이션 배포 전략을 세울 수 있습니다.,"{""class_name"":""DevOps""}"
FCP와 LCP 최적화를 통한 렌더링 속도 개선,"기존대비 FCP는 45.5%, LCP는 30.% 개선하여 모두 0초대로 앞당겼다. 어떻게 가능했을까?","{""class_name"":""Frontend""}"
"🚀 Hello, World! - 모든 프로그래밍의 첫인사 🌍👨‍💻","“Hello, World!”라는 단순한 한 줄 코드에 담긴 깊은 이야기와 재미난 사실들! 🤩  1972년, 벨 연구소의 컴퓨터 과학자 브라이언 커니핸(Brian Kernighan)이B 언어 튜토리얼에서 처음 사용한 문구야.그 전까지는 ""TEST"", ""RUN"", ""12","{""class_name"":""DevOps""}"
