title,short_description,Completion result
[ UXUI부트캠프 2일차]디자인 씽킹 5단계,논리적으로 제품을 만들 수 있도록 도와주는 프레임워크 중 하나5단계의 프로세스는 1-5 한 방향으로만 흐르지 않음빠른시간에 논리적으로 아이디어를 만들 수 있는 도구사용자를 완벽히 이해하기 위한 수단 > 공감하기공감대를 형성해 사용자의 충족되지않은 욕구와 불편한점을 파악,"{""class_name"":""AI""}"
🖋 LG 유플러스 유레카 2기 합격 회고,전공자의 LG 유플러스 유레카 2기 합격 후기,"{""class_name"":""AI""}"
[OpenAI] Introduction to Operator & Agents : Computer-Using Agent,"OpenAI의 Computer-Using Agent(CUA)와 Operator의 주요 기능 및 활용 사례를 소개하며, 이들의 혁신적 기술과 안전성을 강조합니다.
","{""class_name"":""AI""}"
[JS딥다이브] 스코프,"13.1 스코프

var키워드로 선언된 변수는 같은 스코프 내에서 중복 선언이 허용된다.

13.2 스코프의 종류

전역과 지역 2가지
전역
    전역은 전역스코프를 만든다.
    전역변수는 어디서든지 참조할 수 있다.
지역
    지역이란 함수 몸체 내부를 의미
    지역은 지역스코프를 만든다.
    지역변수는 자신의 지역 스코프와 하위 지역 스코...","{""class_name"":""Frontend""}"
🚀 스타게이트 프로젝트: AI의 미래를 여는 초대형 계획 🌌,"스타게이트 프로젝트 이미지AI 연구의 새로운 지평을 열어줄 ""스타게이트 프로젝트""가 화제입니다!오라클 ☁️, 오픈AI 🤖, 소프트뱅크 💰가 손을 잡고 만들어가는 초대형 프로젝트,지금까지 공개된 정보를 모아봤어요! 👀차세대 AI 개발을 위한 초대형 데이터 센터 구축","{""class_name"":""AI""}"
TIL-1,사용자가 어떤 제품이나 서비스를 이용하면서 느끼는 총체적인 경험.화면의 전체적인 구조와 시각적인 요소들을 디자인 하는 것.HCI(Human Computer Interaction)CXBX화면의 전체적인 구조와 시각적인 요소들을 디자인 하는 사람.GUI디자이너라고도 함.사,"{""class_name"":""Frontend""}"
[논문리뷰] Rethinking the Inception Architecture for Computer Vision,"📝 이번 포스트는 ""Rethinking the Inception Architecture for Computer Vision"" 논문에 대해 알아보도록 하겠습니다.","{""class_name"":""AI""}"
"[TIL] 14일차 enumerate, formating, Inheritance, 커스텀 메소드","🦁 Abstract
오늘은 enumerate, formating, Inheritance, 커스텀 메소드에 대해 배웠다. 저번부터 든 생각인데 파이썬은 내장 함수가 참 많은것 같다.. 확실히 다양한 메서드가 있어 편리하지만 동시에 복잡하고 어수선한 느낌이 있다..","{""class_name"":""Backend""}"
주저리) '유저 사용성(UX)'은 타협할 수 없는 성역일까,"사용성(UX)에 대한 주관적인 의견을 기록한 글입니다.구체적인 근거조차 빈약한 주관적 의견이므로 반박시 여러분의 말씀이 맞습니다.나는 학생창업으로 스타트업 대표 명함도 만들어봤고, 졸업 후에는 PM으로 정식 커리어를 시작했다. 그리고 우연한 기회에 개발자로 전향하여 지","{""class_name"":""Frontend""}"
캠퍼스커피 프로젝트 - 오류 수정하기,"🎯오늘의 목표(오류 수정)

기타1. 바텀탭이 화면을 가림 수정
기타2. 시간을 한국시간으로 수정
기타3. 장바구니에 아이템 0개 일때 다음 화면으로 이동 불가능하게 수정

🎯기타1. 바텀탭이 화면을 가림 수정

SafeAreaView 사용
SafeAreaView를","{""class_name"":""Frontend""}"
" 스프링 부트 쉽게 이해! 🌱🚀: 쉽고 빠른 CRUD 애플리케이션 만들기","안녕하세요! 🌟 스프링 부트(Spring Boot)로 멋진 CRUD 애플리케이션을 만들어보는 여정을 함께 떠나볼까요? 🚀✨ 여기서는 Gradle을 사용하여 프로젝트를 설정하고, Spring Web, Spring Data JPA, H2 Database를 활용한 CRU","{""class_name"":""Backend""}"
Clean Code 읽으며 배운 것들 (1부),이 글은 로버트 C. 마틴의 『Clean Code』 10장까지 읽으며 느낀 점과 유익한 내용을 기록한 포스트입니다.,"{""class_name"":""CS""}"
[꿀팁] GPT Canvas에서 LaTeX 수식 랜더링 문제 및 해결 방법,GPT Canvas에서 발생하는 LaTeX 수식 렌더링 문제를 해결하기 위한 현실적인 방법과 대안을 소개합니다. Markdown 문법과 충돌을 피하며 수식을 보존하는 방안을 확인하세요!,"{""class_name"":""AI""}"
"Kotlin Coroutine: 코루틴의 일대기(Deep Dive)
","코틀린 코루틴의 생성, 실행 그리고 종료까지 그림과 코드로 알아보자!","{""class_name"":""Backend""}"
"husky로 ESLint 연동하기: 코드 오류, 이제 commit 전에 막는다!(husky v9)","최근 사이드 프로젝트를 진행하며 ESLint 설정을 통해 개발 정책을 구체화하였다. 하지만, ESLint 설정을 구체화하더라도 이를 지키지 않으면 무용지물이 아닌가? 특히 개발 막바지로 갈수록 코드의 품질보다 기능 구현에 급급해 ESLint 규칙에 점점 소흘해져 가는 ","{""class_name"":""DevOps""}"
UIBezierPath로 둥근 오각형 만들기,RoundedRectangle은 가라..,"{""class_name"":""Frontend""}"
[교육] 'NHN 클라우드로 kubernetes 기초 다지기' 참여 후기(feat. NKS 클러스터),"안녕하세요
본 글은 NHN 클라우드의 오프라인 무료 일일 교육에 참여하여 수료하고 온 후기입니다

교육 신청 방법
아래의 NHN 클라우드 교육 센터 사이트에서 언제든 신청할 수 있습니다
https://www.nhncloud.com/kr/edu

교육 난이도별로 BASI","{""class_name"":""DevOps""}"
Unreal Actor Class(2),"오늘은 어제 배운 강의를 바탕으로 움직이는 액터들을 만들어 보았다. 선형으로 이동하는 액터, Sin을 활용해서 자연스럽게 반복이동과 제자리 회전하는 액터, 게임 시작후 3초 뒤에 스폰되어 10초동안 중심점을 기준으로 회전이동한 뒤 사라지는 액터를 구현해보았다.

1. ","{""class_name"":""CS""}"
[한화시스템 BEYOND SW 캠프] 14기 4주차 회고,"자바를 시작했다!!학부 때 그렇게 피하던 자바였는데..오랜만이다.. 자바야.. 🥲아쉬웠던 점과 부족했던 점을 둘 다 쓰려니 자꾸 자기반성 글만 되는 것 같아부족했던 점을 계획으로 바꿨다.블로그에 계획을 언급해서.. 내가 해야 할 일을 상기시켜줘야겠다.Intellij ","{""class_name"":""Backend""}"
랜덤 닉네임 기능 생성기,"이번에 회사에서 서비스 런칭을 하게 되면서, 담당으로 맡아 개발 하게 된 기능들이 있다.그 기능들 중에 개발 하면서 가장 재미도 있었고, 나름대로 어려움이 있었던 기능인 랜덤 닉네임 생성 기능에 대해서 이야기 해보고자 한다","{""class_name"":""Backend""}"
Document PIP로 다른 창으로 이동해도 떠 있는 타이머 구현하기,"


코딩해듀오 서비스는 개발과 동시에 사용해야 해서 중간마다 시간을 확인하기 번거롭다는 피드백이 있었다. 기존의 코딩해듀오 서비스에서는 이러한 번거로움을 해결하기 위해 다음과 같이 title 에 남은 타이머 시간을 넣어 확인할 수 있도록 구현했다.


이렇게 어느정도는 해결할 수 있었지만 만약 사용자의 탭이 많이 열려있다면 탭의 크기가 작아져 확인할 수 ...","{""class_name"":""Frontend""}"
Part 1. JDBC 이해,JPA 다지기 첫 번째는 'JDBC 이해'입니다.,"{""class_name"":""Backend""}"
" React Query API 관리 리팩토링",현 프로젝트에서 React Query로 API 호출 로직을 리팩토링하면 다음과 같은 이점이 있습니다:자동 캐싱 및 무효화:React Query는 API 데이터를 캐싱하여 중복 호출을 방지합니다.특정 조건에서 캐시를 자동으로 무효화하여 최신 상태를 유지할 수 있습니다.캐,"{""class_name"":""Frontend""}"
"개발자가 직접 안 만들었는데도 돌아가는 기능?!  ","""나는 한 줄 코드만 쳤는데, 경고창이 뙇! 브라우저가 다 해주는 이유는?""""코드를 분명 몇 줄 안 쳤는데 왜 이렇게 많은 걸 해주지??""안녕하세요! ☕️ 오늘도 커피 한 잔 홀짝이며 삽질과 깨달음을 반복하는 🧑‍💻 (자칭) 매직 개발자입니다.이번엔 자바스크립트로 ","{""class_name"":""Frontend""}"
"Kubernetes 기본 개념: 클러스터, 노드, 파드","컨테이너화된 애플리케이션을 배포, 관리, 확장하는 데 사용되는 오픈 소스 플랫폼.","{""class_name"":""DevOps""}"
[UE-5] Mediator 디자인 패턴,Mediator 패턴에 대해 알아보고 이를 Observer 패턴과 조합하여 사용하는 것도 알아보자,"{""class_name"":""CS""}"
스크립트 자동 실행 - 셔뱅(SheBang),"스크립트 자동 실행을 시켜주는 셔뱅, 당신은 제대로 알고 있는가? 모른다면 들어와서 읽어봐라","{""class_name"":""DevOps""}"
Part 8. 트랜잭션 - TDD,JPA 다지기 여덟 번째는 'Part 8. 트랜잭션 - TDD'입니다.,"{""class_name"":""Backend""}"
"[도서리뷰] 딥러닝 입문자를 위한 책 추천, 혁펜하임 『Easy! 딥러닝』",최근 딥러닝에 대한 관심이 뜨겁습니다. 복잡해 보이는 AI 기술을 체계적으로 이해할 수 있는 책을 찾는 분들께 혁펜하임의 『Easy! 딥러닝』을 소개합니다.,"{""class_name"":""AI""}"
Part 3. 커넥션 풀 이해,JPA 다지기 세 번째는 '커넥션 풀 이해'입니다.,"{""class_name"":""Backend""}"
"Part 9. 스프링, 트랜잭션 매니저와 트랜잭션 동기화 매니저","JPA 다지기 아홉 번째는 '스프링, 트랜잭션 매니저와 트랜잭션 동기화 매니저'입니다.","{""class_name"":""Backend""}"
재귀함수 (Recursion Function),"드디어 알고리즘 시작이다..어떤 것부터 시작할까하다가 백준맨인 나는 또 백준 단계별 풀어보기를 하며 알고리즘을 하려고한다간단하게 말하면 함수가 자기 자신을 호출하는 방식 이라고 볼 수 있다.큰 규모의 문제를 더 작은 단위로 분할해가며, 반복적으로 해결하는 것이다.재귀는","{""class_name"":""CS""}"
SEO를 높이기 위한 메타 태그(Meta Tag) 최적화,"앞선 글에서도 다뤘듯, 웹 개발자로서 SEO 최적화는 피할 수 없는 중요한 과제이다. 이번글에서는 SEO 최적화에서 중요한 포인트 중 하나인 메타 태그의 기본 개념부터 실제 구현 방법, 그리고 최적화 전략까지 상세히 다뤄보고자 한다. 특히 오픈 그래프와 캐노니컬 태그와","{""class_name"":""Frontend""}"
Part 6. 트랜잭션 동작 과정?,JPA 다지기 여섯 번째는 '트랜잭션 동작 과정'입니다.,"{""class_name"":""Backend""}"
[LeetCode] 162. Find Peak Element,"해당 문제는 간단히, 내 앞 뒤에 있는 요소가 모두 나보다 작다면 그 인덱스를 반환하면 되는 문제이다.풀이 과정은 다음과 같다.nums 배열 1회 순회 O(n)현재 요소의 앞 뒤 요소를 비교하며 하나라도 작거나 같다면 무시모두 현재 요소보다 작은 수라면 현재의 인덱스 ","{""class_name"":""CS""}"
"[C++] 깐부를 맺는 키워드, friend에 대해 알아보자",우린 깐부자나...,"{""class_name"":""DevOps""}"
[LeetCode] 164. Maximum Gap,해당 문제는 현재 요소와 다음 요소의 최대 간격을 알아내는 문제이다.풀이 과정은 다음과 같다.요소가 하나 뿐인 경우 0 반환요소 정렬순회하며 최대간격 기록 O(n)최대 간격 반환,"{""class_name"":""CS""}"
12장 함수,"12.1 함수란?

12.3 함수 리터럴
함수는 객체 타입의 값으로, 함수 리터럴로 생성할 수 있다.
함수 리터럴은 function 키워드, 함수 이름, 매개변수 목록, 함수 몸체로 구성된다.

함수 리터럴은 평가되어 값을 생성하며 그 값은 객체다. ➡️ 함수는 객체다","{""class_name"":""Backend""}"
Part 11. 스프링이 제공하는 트랜잭션 Aop,JPA 다지기 열 한 번째는 '스프링이 제공하는 트랜잭션 Aop'입니다.,"{""class_name"":""Backend""}"
[리팩토링⑤] JavaScript로 작성된 React 프로젝트 TypeScript로 개선하기,JavaScript로 작성된 프로젝트를 다시 보니 변수 타입과 객체의 프로퍼티를 알기 어려웠다. 코드를 분석하고 고쳐보자.,"{""class_name"":""Frontend""}"
테스트 하는게 더 생산성이 높을 때가 있다니까요 정말로?,안녕하세요 킴스캐슬입니다오랜만에 기술적인 내용의 글을 작성하네요!Unit test에 관한 영상이나 글들을 최대한 많이 봤고 프로젝트에 적용을 해본 경험으로 쓰는글이다보니까 제 개인적인 주관이 많이 들어있는 글이 되지 않을까 싶네요 ㅎㅎ 새로운 의견이나 반박은 늘 환영입,"{""class_name"":""Backend""}"
쿠버네티스 시험준비 part.14 Deployment & Expose Service,"- **작업 클러스터 설정**: `kubectl config use-context k8s` 명령어를 사용해 클러스터 설정.
- **기존 배포 재구성**:
  - 기존 배포 `front-end`의 컨테이너 `nginx`에 포트 사양 추가(`http`, 80/tcp 노출)","{""class_name"":""DevOps""}"
정보처리기능사 - 실기(12),결함 관리를 어떻게 하는지에 대해 작성하였습니다.,"{""class_name"":""CS""}"
FastAPI 학습 기록...,"Backend Programming에 B도 몰랐던 제가..
'FastAPI로 배우는 백엔드 프로그램 with 클린 아키텍처' 라는 책으로 공부하게 되었습니다.

> [2025.01.10 ~ 01.27] 약 3주간 학습을 끝내며 FastAPI를 활용한
백엔드 개발의 기초","{""class_name"":""Backend""}"
[객체지향의 사실과 오해] Part 1 톺아보기,객체지향 그거 뭐 어떻게 하는 건데...,"{""class_name"":""CS""}"
Part 7. DB Lock,JPA 다지기 일곱 번째는 'DB Lock'입니다.,"{""class_name"":""Backend""}"
프론트엔드 아키텍처 설계와 방법론,"건축하고자 하는 건물이 아파트인지, 사무용 오피스텔인지에 따라 건축의 방식도 달라지듯이 프로젝트의 요구사항과 팀의 역량에 따라 설계와 방법론을 유연하게 조합하는 것이 중요하다. ","{""class_name"":""Frontend""}"
Part 5. 트랜잭션 이해,JPA 다지기 다섯 번째는 ' 트랜잭션 이해'입니다.,"{""class_name"":""Backend""}"
Part 4. 인터페이스 DataSource,JPA 다지기 네 번째는 '인터페이스 DataSource'입니다.,"{""class_name"":""Backend""}"
검색 엔진 최적화(SEO)란,"기술의 발전으로 인해  개발자가 단순히 코드 작성 외에도 사용자 경험, 웹 최적화, 웹 보안, 검색 엔진 최적화 등 다양한 분야에서 전문성을 요구받고 있다. 그중에서도 검색 엔진 최적화는 웹사이트의 검색 엔진 순위를 높일 뿐만 아니라 사용자들에게 더 나은 사용자 경험을","{""class_name"":""AI""}"
[꿀팁] 유니코드 문자표 모음집 사이트 소개!!,"문서를 작성하거나 디자인 작업을 할 때, 특별한 기호나 심볼이 필요할 때가 있습니다. 이러한 기호들을 한곳에서 간편하게 찾고 복사할 수 있도록 도와주는 유용한 웹사이트인 SYMBL을 소개합니다. (https://symbl.cc/kr/)","{""class_name"":""etc""}"